k,genotype,consensus,classes,periods,transients,p_state,p_pop
2,A>B.self|A>~.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.self|A>~.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,2;3;2,False,False
2,A>B.self|A>~.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.self|A>~.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.self|B>A.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.self|B>A.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.self|B>A.req~,POP_OSC,POP_OSC;POP_OSC;POP_OSC,2;2;2,0;0;0,True,True
2,A>B.self|B>A.self,POP_OSC,POP_OSC;POP_OSC;POP_OSC,2;2;2,0;0;0,True,True
2,A>B.self|B>A.writeA,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.self|B>A.writeB,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.self|B>A.write~,POP_OSC,POP_OSC;POP_OSC;POP_OSC,2;2;2,0;0;0,True,True
2,A>B.self|B>B.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.self|B>B.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.self|B>B.req~,FIXED,FIXED;FIXED;FIXED,1;1;1,1;1;1,False,False
2,A>B.self|B>B.self,FIXED,FIXED;FIXED;FIXED,1;1;1,1;1;1,False,False
2,A>B.self|B>B.writeA,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.self|B>B.writeB,FIXED,FIXED;FIXED;FIXED,1;1;1,7;16;18,False,False
2,A>B.self|B>B.write~,FIXED,FIXED;FIXED;FIXED,1;1;1,1;1;1,False,False
2,A>B.self|B>~.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.self|B>~.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.self|B>~.req~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,2;2;2,False,False
2,A>B.self|B>~.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,2;2;2,False,False
2,A>B.self|B>~.writeA,POP_OSC,POP_OSC;POP_OSC;POP_OSC,12;12;12,0;0;0,True,True
2,A>B.self|B>~.writeB,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION,6;6;6,1;1;1,True,False
2,A>B.self|B>~.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,2;2;2,False,False
2,A>B.writeA|A>B.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.writeA|A>B.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.writeA|A>~.reqA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION,6;6;6,5;5;5,True,False
2,A>B.writeA|A>~.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,8;7;7,False,False
2,A>B.writeA|A>~.req~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.writeA|A>~.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.writeA|A>~.writeA,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.writeA|A>~.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.writeA|A>~.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.writeA|B>A.reqA,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.writeA|B>A.reqB,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.writeA|B>A.req~,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION,6;6;6,5;5;5,True,False
2,A>B.writeA|B>A.self,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.writeA|B>A.writeA,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.writeA|B>A.writeB,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.writeA|B>A.write~,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.writeA|B>B.reqA,"MIXED:APERIODICx1,FIXEDx2",APERIODIC;FIXED;FIXED,None;1;1,None;199;197,False,False
2,A>B.writeA|B>B.reqB,"MIXED:APERIODICx1,FIXEDx2",FIXED;FIXED;APERIODIC,1;1;None,195;185;None,False,False
2,A>B.writeA|B>B.req~,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION,6;6;6,5;5;5,True,False
2,A>B.writeA|B>B.self,FIXED,FIXED;FIXED;FIXED,1;1;1,195;199;198,False,False
2,A>B.writeA|B>B.writeA,"MIXED:APERIODICx2,FIXEDx1",APERIODIC;FIXED;APERIODIC,None;1;None,None;199;None,False,False
2,A>B.writeA|B>B.writeB,FIXED,FIXED;FIXED;FIXED,1;1;1,7;12;18,False,False
2,A>B.writeA|B>B.write~,FIXED,FIXED;FIXED;FIXED,1;1;1,2;17;2,False,False
2,A>B.writeA|B>~.reqA,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.writeA|B>~.reqB,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.writeA|B>~.req~,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION,6;6;6,5;5;5,True,False
2,A>B.writeA|B>~.self,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.writeA|B>~.writeA,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.writeA|B>~.writeB,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION,6;6;6,2;4;2,True,False
2,A>B.writeA|B>~.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,2;16;2,False,False
2,A>B.writeB|A>B.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.writeB|A>~.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.writeB|A>~.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.writeB|A>~.req~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.writeB|A>~.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.writeB|A>~.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,2;3;2,False,False
2,A>B.writeB|A>~.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.writeB|A>~.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.writeB|B>A.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.writeB|B>A.reqB,POP_OSC,POP_OSC;POP_OSC;POP_OSC,2;2;2,1;1;1,True,True
2,A>B.writeB|B>A.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,9;9;9,False,False
2,A>B.writeB|B>A.self,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.writeB|B>A.writeA,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.writeB|B>A.writeB,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.writeB|B>A.write~,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.writeB|B>B.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.writeB|B>B.reqB,FIXED,FIXED;FIXED;FIXED,1;1;1,1;1;1,False,False
2,A>B.writeB|B>B.req~,FIXED,FIXED;FIXED;FIXED,1;1;1,1;1;1,False,False
2,A>B.writeB|B>B.self,FIXED,FIXED;FIXED;FIXED,1;1;1,1;1;1,False,False
2,A>B.writeB|B>B.writeA,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.writeB|B>B.writeB,FIXED,FIXED;FIXED;FIXED,1;1;1,7;12;18,False,False
2,A>B.writeB|B>B.write~,FIXED,FIXED;FIXED;FIXED,1;1;1,2;3;2,False,False
2,A>B.writeB|B>~.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.writeB|B>~.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,2;2;2,False,False
2,A>B.writeB|B>~.req~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,3;3;3,False,False
2,A>B.writeB|B>~.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,3;3;3,False,False
2,A>B.writeB|B>~.writeA,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.writeB|B>~.writeB,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION,6;6;6,2;4;2,True,False
2,A>B.writeB|B>~.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,2;3;2,False,False
2,A>B.write~|A>~.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.write~|A>~.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.write~|A>~.req~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.write~|A>~.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.write~|A>~.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,2;3;2,False,False
2,A>B.write~|A>~.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.write~|A>~.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.write~|B>A.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.write~|B>A.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.write~|B>A.req~,POP_OSC,POP_OSC;POP_OSC;POP_OSC,2;2;2,0;0;0,True,True
2,A>B.write~|B>A.self,POP_OSC,POP_OSC;POP_OSC;POP_OSC,2;2;2,0;0;0,True,True
2,A>B.write~|B>A.writeA,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.write~|B>A.writeB,APERIODIC,APERIODIC;APERIODIC;APERIODIC,None;None;None,None;None;None,False,False
2,A>B.write~|B>A.write~,POP_OSC,POP_OSC;POP_OSC;POP_OSC,2;2;2,0;0;0,True,True
2,A>B.write~|B>B.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.write~|B>B.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.write~|B>B.req~,FIXED,FIXED;FIXED;FIXED,1;1;1,1;1;1,False,False
2,A>B.write~|B>B.self,FIXED,FIXED;FIXED;FIXED,1;1;1,1;1;1,False,False
2,A>B.write~|B>B.writeA,"MIXED:APERIODICx2,FIXEDx1",FIXED;APERIODIC;APERIODIC,1;None;None,199;None;None,False,False
2,A>B.write~|B>B.writeB,FIXED,FIXED;FIXED;FIXED,1;1;1,7;16;18,False,False
2,A>B.write~|B>B.write~,FIXED,FIXED;FIXED;FIXED,1;1;1,1;1;1,False,False
2,A>B.write~|B>~.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.write~|B>~.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.write~|B>~.req~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,2;2;2,False,False
2,A>B.write~|B>~.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,2;2;2,False,False
2,A>B.write~|B>~.writeA,POP_OSC,POP_OSC;POP_OSC;POP_OSC,12;12;12,0;0;0,True,True
2,A>B.write~|B>~.writeB,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION,6;6;6,1;1;1,True,False
2,A>B.write~|B>~.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,2;2;2,False,False
2,A>~.reqA|A>~.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|A>~.req~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.reqA|A>~.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.reqA|A>~.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION,6;6;6,0;0;0,True,False
2,A>~.reqA|A>~.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>~.reqA|A>~.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.reqA|B>A.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>A.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>A.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>A.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>A.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>A.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>A.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>B.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>B.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>B.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>B.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>B.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>B.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>B.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>~.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>~.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>~.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>~.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>~.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>~.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqA|B>~.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|A>~.req~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.reqB|A>~.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.reqB|A>~.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION,6;6;6,0;0;0,True,False
2,A>~.reqB|A>~.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>~.reqB|A>~.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.reqB|B>A.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>A.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>A.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>A.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>A.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>A.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>A.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>B.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>B.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>B.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>B.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>B.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>B.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>B.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>~.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>~.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>~.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>~.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>~.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>~.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.reqB|B>~.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>~.req~|A>~.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.req~|A>~.writeA,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,2;3;2,False,False
2,A>~.req~|A>~.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>~.req~|A>~.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.req~|B>A.reqA,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.req~|B>A.reqB,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.req~|B>A.req~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.req~|B>A.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.req~|B>A.writeA,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.req~|B>A.writeB,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.req~|B>A.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.req~|B>B.reqA,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.req~|B>B.reqB,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.req~|B>B.req~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.req~|B>B.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.req~|B>B.writeA,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>~.req~|B>B.writeB,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
