k,genotype,pre,outcome,round_classes,fixed_identical,repair_static,repair_dyn
1,A>A.reqwrite~~,FIXED/p1,DIED,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>A.req~,FIXED/p1,DIED,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>A.self,FIXED/p1,DIED,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>A.writeA,FIXED/p1,REPAIR,FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1,True;True;True,True,False
1,A>A.writeB,FIXED/p1,DIED,FIXED/p1;FIXED/p1;ABSORBED_FROZEN/pNone;FIXED/p1;ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone;ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone,False;False;None,False,False
1,A>A.write~,FIXED/p1,DIED,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>B.reqA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>B.reqB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>B.reqwriteAA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>B.reqwriteAB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>B.reqwriteA~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>B.reqwriteBA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>B.reqwriteBB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>B.reqwriteB~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>B.reqwrite~A,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone,None;None;None,False,False
1,A>B.reqwrite~B,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone;ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone;ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>B.reqwrite~~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>B.req~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>B.self,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>B.writeA,TRANSLATION/p6,"MIXED:DIEDx2,REPAIRx1",ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;TRANSLATION/p6;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;TRANSLATION/p6;TRANSLATION/p6;TRANSLATION/p6,None;None;None,False,False
1,A>B.writeB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone;ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone;ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>B.write~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>~.reqA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>~.reqB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>~.reqwriteAA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>~.reqwriteAB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>~.reqwriteA~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>~.reqwriteBA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>~.reqwriteBB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>~.reqwriteB~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>~.reqwrite~A,TRANSLATION/p6,DIED,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>~.reqwrite~B,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>~.reqwrite~~,ABSORBED_EMPTY/pNone,PRE_FAIL,,None;None;None,False,False
1,A>~.req~,ABSORBED_EMPTY/pNone,PRE_FAIL,,None;None;None,False,False
1,A>~.self,ABSORBED_EMPTY/pNone,PRE_FAIL,,None;None;None,False,False
1,A>~.writeA,TRANSLATION/p6,DIED,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>~.writeB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,A>~.write~,ABSORBED_EMPTY/pNone,PRE_FAIL,,None;None;None,False,False
1,B>A.reqA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>A.reqB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>A.reqwriteAA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>A.reqwriteAB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>A.reqwriteA~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>A.reqwriteBA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>A.reqwriteBB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>A.reqwriteB~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>A.reqwrite~A,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>A.reqwrite~B,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>A.reqwrite~~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>A.req~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>A.self,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>A.writeA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>A.writeB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>A.write~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>B.reqA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>B.reqB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>B.reqwriteAA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>B.reqwriteAB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>B.reqwriteA~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>B.reqwriteBA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>B.reqwriteBB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>B.reqwriteB~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>B.reqwrite~A,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>B.reqwrite~B,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>B.reqwrite~~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>B.req~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>B.self,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>B.writeA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>B.writeB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>B.write~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>~.reqA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>~.reqB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>~.reqwriteAA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>~.reqwriteAB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>~.reqwriteA~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>~.reqwriteBA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>~.reqwriteBB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>~.reqwriteB~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>~.reqwrite~A,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>~.reqwrite~B,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>~.reqwrite~~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>~.req~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>~.self,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>~.writeA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>~.writeB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
1,B>~.write~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>A.reqB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>A.reqwriteAA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>A.reqwriteAB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>A.reqwriteA~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>A.reqwriteBA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>A.reqwriteBB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>A.reqwriteB~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>A.reqwrite~A,FIXED/p1,REPAIR,FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1,True;True;True,True,False
2,A>A.reqA|A>A.reqwrite~B,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone;ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>A.reqwrite~~,FIXED/p1,DIED,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>A.req~,FIXED/p1,DIED,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>A.self,FIXED/p1,DIED,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>A.writeA,FIXED/p1,REPAIR,FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1;FIXED/p1,True;True;True,True,False
2,A>A.reqA|A>A.writeB,FIXED/p1,DIED,FIXED/p1;FIXED/p1;ABSORBED_FROZEN/pNone;FIXED/p1;ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone;ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone,False;False;None,False,False
2,A>A.reqA|A>A.write~,FIXED/p1,DIED,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>B.reqA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>B.reqB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>B.reqwriteAA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>B.reqwriteAB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>B.reqwriteA~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>B.reqwriteBA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>B.reqwriteBB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>B.reqwriteB~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>B.reqwrite~A,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone,None;None;None,False,False
2,A>A.reqA|A>B.reqwrite~B,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone;ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone;ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>B.reqwrite~~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>B.req~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>B.self,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>B.writeA,TRANSLATION/p6,"MIXED:DIEDx2,REPAIRx1",ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;TRANSLATION/p6;ABSORBED_FROZEN/pNone;ABSORBED_FROZEN/pNone;TRANSLATION/p6;TRANSLATION/p6;TRANSLATION/p6,None;None;None,False,False
2,A>A.reqA|A>B.writeB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone;ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone;ABSORBED_FROZEN/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>B.write~,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>~.reqA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>~.reqB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>~.reqwriteAA,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
2,A>A.reqA|A>~.reqwriteAB,ABSORBED_FROZEN/pNone,PRE_FAIL,ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone;ABSORBED_EMPTY/pNone,None;None;None,False,False
